case_number,year,type,country,age,species_,month,fatal,sex
1800.00.00,1800,Unprovoked,seychelles,,,,Y,F
1797.05.28.R,1797,Unprovoked,,,,May,Y,
1792.09.12,1792,Provoked,england,,,Sep,Y,M
1791.00.00,1791,Unprovoked,australia,,,,Y,F
1788.05.10,1788,Boat,australia,,,May,N,
1787.07.05,1787,Unprovoked,,,,Jul,Y,M
1786.08.10.R,1786,Unprovoked,barbados,,,Aug,Y,M
1785.09.26.R,1785,Unprovoked,england,,Tiger shark?,Sep,Y,M
1784.12.12,1784,Unprovoked,jamaica,,,Dec,Y,M
1783.03.02,1783,Sea Disaster,martinique,,,Mar,Y,M
1780.08.08,1780,Unprovoked,usa,,,Aug,Y,M
1779.00.00,1779,Unprovoked,usa,young,,,Y,M
1776.00.00.R,1776,Unprovoked,guinea,,,,Y,M
1776.00.00.b,1776,Boat,greenland,,White sharks,,Y,
1771.07.12.R,1771,Unprovoked,usa,,,Jul,Y,M
1767.00.00,1767,Invalid,france,,Description of shark does not ring true,,,M
1764.00.00,1764,Unprovoked,spain,,,,Y,M
1758.00.00,1758,Unprovoked,mediterranean sea,,"""The fish was harpooned, dried, and presented to the sailor, who went round Europe exhibiting it  It was said to be 20 feet long.",,N,M
1753.10.27.R,1753,Unprovoked,jamaica,,,Oct,Y,M
1751.07.27,1751,Unprovoked,usa,,,Jul,Y,M
1749.00.00,1749,Unprovoked,cuba,14,,,N,M
1755.00.00,1755,Unprovoked,sweden,,,,,M
1748.00.00,1748,Unprovoked,panama,,,,Y,M
1742.12.17,1742,Unprovoked,,,,Dec,Y,M
1738.04.06.R,1738,Unprovoked,italy,,,Apr,Y,M
1733.00.00,1733,Invalid,iceland,,Shark involvement prior to death unconfirmed,,,
1723.00.00,1723,Unprovoked,roatan,,,,,M
1721.06.00,1721,Unprovoked,italy,,"White shark, 1600-lb female ",,Y,M
1703.03.26,1703,Unprovoked,barbados,19,,Mar,N,M
1700.00.00.c,1700,Unprovoked,france,,,,Y,M
1700.00.00.b,1700,Unprovoked,france,,White shark,,N,M
1700.00.00.a,1700,Unprovoked,barbados,,,,Y,M
1642.00.00.b,1642,Invalid,guinea,,Questionable,,,M
1638.00.00.R,1638,Unprovoked,,,,,,M
1637.00.00.R,1637,Unprovoked,india,,,,,
1617.00.00.R,1617,Unprovoked,india,,,,,
1642.00.00,1642,Unprovoked,usa,,,,Y,M
1595.00.00,1595,Unprovoked,india,,,,,M
1580.01.10.R,1580,Unprovoked,between portugal & india,,,Jan,Y,M
1555.00.00,1555,Unprovoked,,,,,,M
1554.00.00,1554,Unprovoked,france,,Possibly white sharks,,,M
1543.00.00,1543,Unprovoked,venezuela,,,,Y,M
0500.00.00,500,Unprovoked,mexico,,,,N,M
0077.00.00,77,Unprovoked,,,,,Y,M
0005.00.00,5,Unprovoked,australia,,,,N,M
0000.0214,0,Unprovoked,,,,,Y,M
0000.0336,0,Unprovoked,greece,,,,Y,M
0000.0493,0,Sea Disaster,greece,,,,Y,M
0000.0725,0,Sea Disaster,italy,,,,Y,M
ND-0154,0,Unprovoked,canada,,,,N,M
ND-0153,0,Unprovoked,kenya,,,,N,M
ND-0152,0,Unprovoked,kenya,,,,Y,M
ND-0151,0,Unprovoked,panama,20,,Oct,Y,M
ND-0150,0,Unprovoked,uruguay,,,,N,
ND-0149,0,Unprovoked,uruguay,,,,Y,M
ND-0148,0,Unprovoked,usa,,,,N,M
ND-1940,0,Unprovoked,papua new guinea,,,,Y,M
ND-0139,0,Unprovoked,australia,15,,,N,F
ND-0138,0,Unprovoked,australia,,,,Y,M
ND-0136,0,Unprovoked,usa,," Galapagos shark, 6'",,N,M
ND-0135,0,Unprovoked,bermuda,,,,Y,M
ND-0134,0,Unprovoked,greece,,,,Y,F
ND-0133,0,Unprovoked,usa,,Basking shark,,Y,M
ND-0132,0,Provoked,india,,,,N,M
ND-0130,0,Unprovoked,lebanon,,,,N,M
ND-0129,0,Unprovoked,spain,,,,N,
ND-0127,0,Unprovoked,sudan,,,,N,F
ND-0124,0,Provoked,,,,,N,M
ND-0123,0,Unprovoked,usa,21,"Blacktip shark, 5'",,N,F
ND-0122,0,Unprovoked,usa,,,,N,M
ND-0119,0,Unprovoked,djibouti,,,,Y,
ND-0118,0,Unprovoked,libya,,,,Y,M
ND-0116,0,Unprovoked,australia,,,,N,M
ND-0115,0,Unprovoked,new zealand,,,Jun,Y,M
ND-0114,0,Unprovoked,,,,,N,F
ND-0113,0,Unprovoked,vietnam,,,,N,M
ND-0111,0,Unprovoked,sri lanka,,,,N,M
ND.0110,0,Unprovoked,venezuela,,said to involve 2.5 m hammerhead sharks,,Y,M
ND-0109,0,Unprovoked,usa,,,,N,M
ND-0108,0,Unprovoked,greece,,,,Y,M
ND-0107,0,Boat,mozambique,,Whale shark,,N,
ND-0106,0,Unprovoked,south africa,,,,Y,M
ND.0104,0,Unprovoked,australia,,Tiger shark,,N,M
ND.0102,0,Unprovoked,bahrein,,Tiger shark,,Y,M
ND.0100,0,Unprovoked,bahamas,,1.8 m [6'] shark,,N,M
ND.0097,0,Unprovoked,usa,,,,N,M
ND.0096,0,Unprovoked,reunion,,,,N,M
ND.0095,0,Unprovoked,solomon islands,,,Feb,N,M
ND.0094,0,Unprovoked,korea,,,May,Y,F
ND.0093,0,Unprovoked,french polynesia,,,Mar,N,M
ND.0091,0,Unprovoked,sudan,,Silvertip shark,,N,M
ND.0090,0,Unprovoked,vanuatu,,,Aug,Y,F
ND.0089,0,Provoked,vanuatu,,A large hammerhead shark,Aug,N,M
ND.0088,0,Unprovoked,iran,,Bull shark,,N,M
ND.0087,0,Provoked,usa,19,"Nurse shark, 2.1 m [7'] ",,N,M
ND.0086,0,Invalid,papua new guinea,,Questionable,,Y,M
ND.0085,0,Unprovoked,red sea?,,,,N,F
ND.0084,0,Unprovoked,south africa,,,Jan,Y,M
ND.0083,0,Unprovoked,usa,,"Shovelnose guitarfish, adult male ",,N,M
ND.0082,0,Unprovoked,greece,,,May,Y,F
ND.0081,0,Invalid,usa,,Invalid,,,M
ND.0078,0,Unprovoked,usa,,,,Y,M
ND.0076,0,Unprovoked,mediterranean sea,,,,Y,M
ND.0075,0,Unprovoked,australia,,0.9 m [3'] shark,,N,M
ND.0074,0,Unprovoked,australia,,,,N,M
ND.0073,0,Unprovoked,singapore,,,,N,
ND.0069,0,Unprovoked,fiji,27,1.8 m [6'] shark,,N,M
ND.0068,0,Unprovoked,mozambique,36,"""A pack of sharks""",,N,M
ND.0066,0,Unprovoked,seychelles,,Tiger shark,,Y,M
ND.0065,0,Unprovoked,iraq,25,,,N,M
ND.0064,0,Unprovoked,iraq,6,Bull shark,,N,M
ND.0063,0,Unprovoked,iraq,16,Bull shark,,N,M
ND.0062,0,Unprovoked,bahamas,,"White shark, 7' to 8'",,N,M
ND.0060,0,Unprovoked,usa,,"White shark, 1,900-lb ",Jun,N,F
ND.0059,0,Unprovoked,bermuda,,,Apr,N,M
ND.0058,0,Unprovoked,fiji,,,,N,F
ND.0057,0,Unprovoked,madagascar,,,,Y,M
ND.0056,0,Unprovoked,usa,,,,N,M
ND.0055,0,Provoked,bahamas,,"Nurse shark, 2.1 m [7']",,N,M
ND.0054,0,Unprovoked,indonesia,,,,Y,M
ND.0053,0,Unprovoked,india,,,,Y,M
ND.0052,0,Unprovoked,nicaragua,,"Bull shark caught, leg recovered & buried beside the man's body",,Y,M
ND.0051,0,Provoked,cuba,50,,,Y,M
ND.0049,0,Unprovoked,marshall islands,,,,N,M
ND.0048,0,Unprovoked,kiribati,,,,N,M
ND.0047,0,Unprovoked,north pacific ocean,,,Mar,N,M
ND.0046,0,Unprovoked,kiribati,,,,Y,M
ND.0044,0,Sea Disaster,,,1.2 m [4'] shark,,Y,
ND.0043,0,Unprovoked,solomon islands,,,,N,M
ND.0042,0,Unprovoked,australia,,,,N,M
ND.0041,0,Unprovoked,iran,,,,Y,M
ND.0040,0,Unprovoked,iran,,,,Y,M
ND.0039,0,Unprovoked,iran,,,,Y,M
ND.0038,0,Unprovoked,iraq,13 or 14,Bull shark,,Y,M
ND.0037,0,Unprovoked,saudi arabia,,"""a black-tipped shark""",,Y,M
ND.0036,0,Unprovoked,saudi arabia,,6' shark,,N,M
ND.0035,0,Unprovoked,saudi arabia,,,,N,M
ND.0034,0,Sea Disaster,pacific ocean,,,,Y,M
ND.0033,0,Provoked,burma,,,,N,M
ND.0032,0,Sea Disaster,papua new guinea,,,,N,M
ND.0031,0,Sea Disaster,papua new guinea,,,,N,M
ND.0030,0,Unprovoked,burma,,,,Y,M
ND.0028,0,Boat,italy,,White shark,,N,M
ND.0027,0,Unprovoked,greece,,,,N,M
ND.0026,0,Unprovoked,belize,16,12' tiger shark,,Y,M
ND.0025,0,Unprovoked,australia,,,,,M
ND.0024,0,Unprovoked,reunion,,,,Y,
ND.0023,0,Unprovoked,south africa,,,,N,F
