year,type,country,age,species_,month,fatal,sex,age_clean
1800,Unprovoked,seychelles,,,,Y,F,
1797,Unprovoked,,,,May,Y,,
1792,Provoked,england,,,Sep,Y,M,
1791,Unprovoked,australia,,,,Y,F,
1788,Boat,australia,,,May,N,,
1787,Unprovoked,,,,Jul,Y,M,
1786,Unprovoked,barbados,,,Aug,Y,M,
1785,Unprovoked,england,,Tiger shark?,Sep,Y,M,
1784,Unprovoked,jamaica,,,Dec,Y,M,
1783,Sea Disaster,martinique,,,Mar,Y,M,
1780,Unprovoked,usa,,,Aug,Y,M,
1779,Unprovoked,usa,young,,,Y,M,
1776,Unprovoked,guinea,,,,Y,M,
1776,Boat,greenland,,White sharks,,Y,,
1771,Unprovoked,usa,,,Jul,Y,M,
1767,Invalid,france,,Description of shark does not ring true,,,M,
1764,Unprovoked,spain,,,,Y,M,
1758,Unprovoked,mediterranean sea,,"""The fish was harpooned, dried, and presented to the sailor, who went round Europe exhibiting it  It was said to be 20 feet long.",,N,M,
1753,Unprovoked,jamaica,,,Oct,Y,M,
1751,Unprovoked,usa,,,Jul,Y,M,
1749,Unprovoked,cuba,14,,,N,M,14
1755,Unprovoked,sweden,,,,,M,
1748,Unprovoked,panama,,,,Y,M,
1742,Unprovoked,,,,Dec,Y,M,
1738,Unprovoked,italy,,,Apr,Y,M,
1733,Invalid,iceland,,Shark involvement prior to death unconfirmed,,,,
1723,Unprovoked,roatan,,,,,M,
1721,Unprovoked,italy,,"White shark, 1600-lb female ",,Y,M,
1703,Unprovoked,barbados,19,,Mar,N,M,19
1700,Unprovoked,france,,,,Y,M,
1700,Unprovoked,france,,White shark,,N,M,
1700,Unprovoked,barbados,,,,Y,M,
1642,Invalid,guinea,,Questionable,,,M,
1638,Unprovoked,,,,,,M,
1637,Unprovoked,india,,,,,,
1617,Unprovoked,india,,,,,,
1642,Unprovoked,usa,,,,Y,M,
1595,Unprovoked,india,,,,,M,
1580,Unprovoked,between portugal & india,,,Jan,Y,M,
1555,Unprovoked,,,,,,M,
1554,Unprovoked,france,,Possibly white sharks,,,M,
1543,Unprovoked,venezuela,,,,Y,M,
500,Unprovoked,mexico,,,,N,M,
77,Unprovoked,,,,,Y,M,
5,Unprovoked,australia,,,,N,M,
0,Unprovoked,,,,,Y,M,
0,Unprovoked,greece,,,,Y,M,
0,Sea Disaster,greece,,,,Y,M,
0,Sea Disaster,italy,,,,Y,M,
0,Unprovoked,canada,,,,N,M,
0,Unprovoked,kenya,,,,N,M,
0,Unprovoked,kenya,,,,Y,M,
0,Unprovoked,panama,20,,Oct,Y,M,20
0,Unprovoked,uruguay,,,,N,,
0,Unprovoked,uruguay,,,,Y,M,
0,Unprovoked,usa,,,,N,M,
0,Unprovoked,papua new guinea,,,,Y,M,
0,Unprovoked,australia,15,,,N,F,15
0,Unprovoked,australia,,,,Y,M,
0,Unprovoked,usa,," Galapagos shark, 6'",,N,M,
0,Unprovoked,bermuda,,,,Y,M,
0,Unprovoked,greece,,,,Y,F,
0,Unprovoked,usa,,Basking shark,,Y,M,
0,Provoked,india,,,,N,M,
0,Unprovoked,lebanon,,,,N,M,
0,Unprovoked,spain,,,,N,,
0,Unprovoked,sudan,,,,N,F,
0,Provoked,,,,,N,M,
0,Unprovoked,usa,21,"Blacktip shark, 5'",,N,F,21
0,Unprovoked,usa,,,,N,M,
0,Unprovoked,djibouti,,,,Y,,
0,Unprovoked,libya,,,,Y,M,
0,Unprovoked,australia,,,,N,M,
0,Unprovoked,new zealand,,,Jun,Y,M,
0,Unprovoked,,,,,N,F,
0,Unprovoked,vietnam,,,,N,M,
0,Unprovoked,sri lanka,,,,N,M,
0,Unprovoked,venezuela,,said to involve 2.5 m hammerhead sharks,,Y,M,
0,Unprovoked,usa,,,,N,M,
0,Unprovoked,greece,,,,Y,M,
0,Boat,mozambique,,Whale shark,,N,,
0,Unprovoked,south africa,,,,Y,M,
0,Unprovoked,australia,,Tiger shark,,N,M,
0,Unprovoked,bahrein,,Tiger shark,,Y,M,
0,Unprovoked,bahamas,,1.8 m [6'] shark,,N,M,
0,Unprovoked,usa,,,,N,M,
0,Unprovoked,reunion,,,,N,M,
0,Unprovoked,solomon islands,,,Feb,N,M,
0,Unprovoked,korea,,,May,Y,F,
0,Unprovoked,french polynesia,,,Mar,N,M,
0,Unprovoked,sudan,,Silvertip shark,,N,M,
0,Unprovoked,vanuatu,,,Aug,Y,F,
0,Provoked,vanuatu,,A large hammerhead shark,Aug,N,M,
0,Unprovoked,iran,,Bull shark,,N,M,
0,Provoked,usa,19,"Nurse shark, 2.1 m [7'] ",,N,M,19
0,Invalid,papua new guinea,,Questionable,,Y,M,
0,Unprovoked,red sea?,,,,N,F,
0,Unprovoked,south africa,,,Jan,Y,M,
0,Unprovoked,usa,,"Shovelnose guitarfish, adult male ",,N,M,
0,Unprovoked,greece,,,May,Y,F,
0,Invalid,usa,,Invalid,,,M,
0,Unprovoked,usa,,,,Y,M,
0,Unprovoked,mediterranean sea,,,,Y,M,
0,Unprovoked,australia,,0.9 m [3'] shark,,N,M,
0,Unprovoked,australia,,,,N,M,
0,Unprovoked,singapore,,,,N,,
0,Unprovoked,fiji,27,1.8 m [6'] shark,,N,M,27
0,Unprovoked,mozambique,36,"""A pack of sharks""",,N,M,36
0,Unprovoked,seychelles,,Tiger shark,,Y,M,
0,Unprovoked,iraq,25,,,N,M,25
0,Unprovoked,iraq,6,Bull shark,,N,M,6
0,Unprovoked,iraq,16,Bull shark,,N,M,16
0,Unprovoked,bahamas,,"White shark, 7' to 8'",,N,M,
0,Unprovoked,usa,,"White shark, 1,900-lb ",Jun,N,F,
0,Unprovoked,bermuda,,,Apr,N,M,
