,case_number,year,type,country,age,species_,month,fatal,sex,species_shark,edad_ataques
0,1800.00.00,1975.0,Unprovoked,seychelles,,,,Y,F,Unspecified,
1,1797.05.28.R,1975.0,Unprovoked,,,,May,Y,,Unspecified,
2,1792.09.12,1975.0,Provoked,england,,,Sep,Y,M,Unspecified,
3,1791.00.00,1975.0,Unprovoked,australia,,,,Y,F,Unspecified,
4,1788.05.10,1975.0,Boat,australia,,,May,N,,Unspecified,
5,1787.07.05,1975.0,Unprovoked,,,,Jul,Y,M,Unspecified,
6,1786.08.10.R,1975.0,Unprovoked,barbados,,,Aug,Y,M,Unspecified,
7,1785.09.26.R,1975.0,Unprovoked,england,,Tiger shark?,Sep,Y,M,Tiger,
8,1784.12.12,1975.0,Unprovoked,jamaica,,,Dec,Y,M,Unspecified,
9,1783.03.02,1975.0,Sea Disaster,martinique,,,Mar,Y,M,Unspecified,
10,1780.08.08,1975.0,Unprovoked,usa,,,Aug,Y,M,Unspecified,
11,1779.00.00,1975.0,Unprovoked,usa,,,,Y,M,Unspecified,
12,1776.00.00.R,1975.0,Unprovoked,guinea,,,,Y,M,Unspecified,
13,1776.00.00.b,1975.0,Boat,greenland,,White sharks,,Y,,White,
14,1771.07.12.R,1975.0,Unprovoked,usa,,,Jul,Y,M,Unspecified,
15,1767.00.00,1975.0,Invalid,france,,Description of shark does not ring true,,,M,Unspecified,
16,1764.00.00,1975.0,Unprovoked,spain,,,,Y,M,Unspecified,
17,1758.00.00,1975.0,Unprovoked,mediterranean sea,,"""The fish was harpooned, dried, and presented to the sailor, who went round Europe exhibiting it  It was said to be 20 feet long.",,N,M,Unspecified,
18,1753.10.27.R,1975.0,Unprovoked,jamaica,,,Oct,Y,M,Unspecified,
19,1751.07.27,1975.0,Unprovoked,usa,,,Jul,Y,M,Unspecified,
20,1749.00.00,1975.0,Unprovoked,cuba,14.0,,,N,M,Unspecified,joven
21,1755.00.00,1975.0,Unprovoked,sweden,,,,,M,Unspecified,
22,1748.00.00,1975.0,Unprovoked,panama,,,,Y,M,Unspecified,
23,1742.12.17,1975.0,Unprovoked,,,,Dec,Y,M,Unspecified,
24,1738.04.06.R,1975.0,Unprovoked,italy,,,Apr,Y,M,Unspecified,
25,1733.00.00,1975.0,Invalid,iceland,,Shark involvement prior to death unconfirmed,,,,Unspecified,
26,1723.00.00,1975.0,Unprovoked,roatan,,,,,M,Unspecified,
27,1721.06.00,1975.0,Unprovoked,italy,,"White shark, 1600-lb female ",,Y,M,White,
28,1703.03.26,1975.0,Unprovoked,barbados,19.0,,Mar,N,M,Unspecified,joven
29,1700.00.00.c,1975.0,Unprovoked,france,,,,Y,M,Unspecified,
30,1700.00.00.b,1975.0,Unprovoked,france,,White shark,,N,M,White,
31,1700.00.00.a,1975.0,Unprovoked,barbados,,,,Y,M,Unspecified,
32,1642.00.00.b,1975.0,Invalid,guinea,,Questionable,,,M,Unspecified,
33,1638.00.00.R,1975.0,Unprovoked,,,,,,M,Unspecified,
34,1637.00.00.R,1975.0,Unprovoked,india,,,,,,Unspecified,
35,1617.00.00.R,1975.0,Unprovoked,india,,,,,,Unspecified,
36,1642.00.00,1975.0,Unprovoked,usa,,,,Y,M,Unspecified,
37,1595.00.00,1975.0,Unprovoked,india,,,,,M,Unspecified,
38,1580.01.10.R,1975.0,Unprovoked,between portugal & india,,,Jan,Y,M,Unspecified,
39,1555.00.00,1975.0,Unprovoked,,,,,,M,Unspecified,
40,1554.00.00,1975.0,Unprovoked,france,,Possibly white sharks,,,M,White,
41,1543.00.00,1975.0,Unprovoked,venezuela,,,,Y,M,Unspecified,
42,0500.00.00,1975.0,Unprovoked,mexico,,,,N,M,Unspecified,
43,0077.00.00,1975.0,Unprovoked,,,,,Y,M,Unspecified,
44,0005.00.00,1975.0,Unprovoked,australia,,,,N,M,Unspecified,
45,0000.0214,1975.0,Unprovoked,,,,,Y,M,Unspecified,
46,0000.0336,1975.0,Unprovoked,greece,,,,Y,M,Unspecified,
47,0000.0493,1975.0,Sea Disaster,greece,,,,Y,M,Unspecified,
48,0000.0725,1975.0,Sea Disaster,italy,,,,Y,M,Unspecified,
49,ND-0154,1975.0,Unprovoked,canada,,,,N,M,Unspecified,
50,ND-0153,1975.0,Unprovoked,kenya,,,,N,M,Unspecified,
51,ND-0152,1975.0,Unprovoked,kenya,,,,Y,M,Unspecified,
52,ND-0151,1975.0,Unprovoked,panama,20.0,,Oct,Y,M,Unspecified,joven
53,ND-0150,1975.0,Unprovoked,uruguay,,,,N,,Unspecified,
54,ND-0149,1975.0,Unprovoked,uruguay,,,,Y,M,Unspecified,
55,ND-0148,1975.0,Unprovoked,usa,,,,N,M,Unspecified,
56,ND-1940,1975.0,Unprovoked,papua new guinea,,,,Y,M,Unspecified,
57,ND-0139,1975.0,Unprovoked,australia,15.0,,,N,F,Unspecified,joven
58,ND-0138,1975.0,Unprovoked,australia,,,,Y,M,Unspecified,
59,ND-0136,1975.0,Unprovoked,usa,," Galapagos shark, 6'",,N,M,Unspecified,
60,ND-0135,1975.0,Unprovoked,bermuda,,,,Y,M,Unspecified,
61,ND-0134,1975.0,Unprovoked,greece,,,,Y,F,Unspecified,
62,ND-0133,1975.0,Unprovoked,usa,,Basking shark,,Y,M,Unspecified,
63,ND-0132,1975.0,Provoked,india,,,,N,M,Unspecified,
64,ND-0130,1975.0,Unprovoked,lebanon,,,,N,M,Unspecified,
65,ND-0129,1975.0,Unprovoked,spain,,,,N,,Unspecified,
66,ND-0127,1975.0,Unprovoked,sudan,,,,N,F,Unspecified,
67,ND-0124,1975.0,Provoked,,,,,N,M,Unspecified,
68,ND-0123,1975.0,Unprovoked,usa,21.0,"Blacktip shark, 5'",,N,F,Unspecified,joven
69,ND-0122,1975.0,Unprovoked,usa,,,,N,M,Unspecified,
70,ND-0119,1975.0,Unprovoked,djibouti,,,,Y,,Unspecified,
71,ND-0118,1975.0,Unprovoked,libya,,,,Y,M,Unspecified,
72,ND-0116,1975.0,Unprovoked,australia,,,,N,M,Unspecified,
73,ND-0115,1975.0,Unprovoked,new zealand,,,Jun,Y,M,Unspecified,
74,ND-0114,1975.0,Unprovoked,,,,,N,F,Unspecified,
75,ND-0113,1975.0,Unprovoked,vietnam,,,,N,M,Unspecified,
76,ND-0111,1975.0,Unprovoked,sri lanka,,,,N,M,Unspecified,
77,ND.0110,1975.0,Unprovoked,venezuela,,said to involve 2.5 m hammerhead sharks,,Y,M,Unspecified,
78,ND-0109,1975.0,Unprovoked,usa,,,,N,M,Unspecified,
79,ND-0108,1975.0,Unprovoked,greece,,,,Y,M,Unspecified,
80,ND-0107,1975.0,Boat,mozambique,,Whale shark,,N,,Unspecified,
81,ND-0106,1975.0,Unprovoked,south africa,,,,Y,M,Unspecified,
82,ND.0104,1975.0,Unprovoked,australia,,Tiger shark,,N,M,Tiger,
83,ND.0102,1975.0,Unprovoked,bahrein,,Tiger shark,,Y,M,Tiger,
84,ND.0100,1975.0,Unprovoked,bahamas,,1.8 m [6'] shark,,N,M,Unspecified,
85,ND.0097,1975.0,Unprovoked,usa,,,,N,M,Unspecified,
86,ND.0096,1975.0,Unprovoked,reunion,,,,N,M,Unspecified,
87,ND.0095,1975.0,Unprovoked,solomon islands,,,Feb,N,M,Unspecified,
88,ND.0094,1975.0,Unprovoked,korea,,,May,Y,F,Unspecified,
89,ND.0093,1975.0,Unprovoked,french polynesia,,,Mar,N,M,Unspecified,
90,ND.0091,1975.0,Unprovoked,sudan,,Silvertip shark,,N,M,Unspecified,
91,ND.0090,1975.0,Unprovoked,vanuatu,,,Aug,Y,F,Unspecified,
92,ND.0089,1975.0,Provoked,vanuatu,,A large hammerhead shark,Aug,N,M,Unspecified,
93,ND.0088,1975.0,Unprovoked,iran,,Bull shark,,N,M,Bull,
94,ND.0087,1975.0,Provoked,usa,19.0,"Nurse shark, 2.1 m [7'] ",,N,M,Unspecified,joven
95,ND.0086,1975.0,Invalid,papua new guinea,,Questionable,,Y,M,Unspecified,
96,ND.0085,1975.0,Unprovoked,red sea?,,,,N,F,Unspecified,
97,ND.0084,1975.0,Unprovoked,south africa,,,Jan,Y,M,Unspecified,
98,ND.0083,1975.0,Unprovoked,usa,,"Shovelnose guitarfish, adult male ",,N,M,Unspecified,
99,ND.0082,1975.0,Unprovoked,greece,,,May,Y,F,Unspecified,
100,ND.0081,1975.0,Invalid,usa,,Invalid,,,M,Unspecified,
101,ND.0078,1975.0,Unprovoked,usa,,,,Y,M,Unspecified,
102,ND.0076,1975.0,Unprovoked,mediterranean sea,,,,Y,M,Unspecified,
103,ND.0075,1975.0,Unprovoked,australia,,0.9 m [3'] shark,,N,M,Unspecified,
104,ND.0074,1975.0,Unprovoked,australia,,,,N,M,Unspecified,
105,ND.0073,1975.0,Unprovoked,singapore,,,,N,,Unspecified,
106,ND.0069,1975.0,Unprovoked,fiji,27.0,1.8 m [6'] shark,,N,M,Unspecified,joven
107,ND.0068,1975.0,Unprovoked,mozambique,36.0,"""A pack of sharks""",,N,M,Unspecified,adulto
108,ND.0066,1975.0,Unprovoked,seychelles,,Tiger shark,,Y,M,Tiger,
109,ND.0065,1975.0,Unprovoked,iraq,25.0,,,N,M,Unspecified,joven
110,ND.0064,1975.0,Unprovoked,iraq,6.0,Bull shark,,N,M,Bull,joven
111,ND.0063,1975.0,Unprovoked,iraq,16.0,Bull shark,,N,M,Bull,joven
112,ND.0062,1975.0,Unprovoked,bahamas,,"White shark, 7' to 8'",,N,M,White,
113,ND.0060,1975.0,Unprovoked,usa,,"White shark, 1,900-lb ",Jun,N,F,White,
114,ND.0059,1975.0,Unprovoked,bermuda,,,Apr,N,M,Unspecified,
115,ND.0058,1975.0,Unprovoked,fiji,,,,N,F,Unspecified,
116,ND.0057,1975.0,Unprovoked,madagascar,,,,Y,M,Unspecified,
117,ND.0056,1975.0,Unprovoked,usa,,,,N,M,Unspecified,
118,ND.0055,1975.0,Provoked,bahamas,,"Nurse shark, 2.1 m [7']",,N,M,Unspecified,
119,ND.0054,1975.0,Unprovoked,indonesia,,,,Y,M,Unspecified,
120,ND.0053,1975.0,Unprovoked,india,,,,Y,M,Unspecified,
121,ND.0052,1975.0,Unprovoked,nicaragua,,"Bull shark caught, leg recovered & buried beside the man's body",,Y,M,Bull,
122,ND.0051,1975.0,Provoked,cuba,50.0,,,Y,M,Unspecified,adulto
123,ND.0049,1975.0,Unprovoked,marshall islands,,,,N,M,Unspecified,
124,ND.0048,1975.0,Unprovoked,kiribati,,,,N,M,Unspecified,
125,ND.0047,1975.0,Unprovoked,north pacific ocean,,,Mar,N,M,Unspecified,
126,ND.0046,1975.0,Unprovoked,kiribati,,,,Y,M,Unspecified,
127,ND.0044,1975.0,Sea Disaster,,,1.2 m [4'] shark,,Y,,Unspecified,
128,ND.0043,1975.0,Unprovoked,solomon islands,,,,N,M,Unspecified,
129,ND.0042,1975.0,Unprovoked,australia,,,,N,M,Unspecified,
130,ND.0041,1975.0,Unprovoked,iran,,,,Y,M,Unspecified,
131,ND.0040,1975.0,Unprovoked,iran,,,,Y,M,Unspecified,
132,ND.0039,1975.0,Unprovoked,iran,,,,Y,M,Unspecified,
133,ND.0038,1975.0,Unprovoked,iraq,,Bull shark,,Y,M,Bull,
134,ND.0037,1975.0,Unprovoked,saudi arabia,,"""a black-tipped shark""",,Y,M,Unspecified,
135,ND.0036,1975.0,Unprovoked,saudi arabia,,6' shark,,N,M,Unspecified,
136,ND.0035,1975.0,Unprovoked,saudi arabia,,,,N,M,Unspecified,
137,ND.0034,1975.0,Sea Disaster,pacific ocean,,,,Y,M,Unspecified,
138,ND.0033,1975.0,Provoked,burma,,,,N,M,Unspecified,
139,ND.0032,1975.0,Sea Disaster,papua new guinea,,,,N,M,Unspecified,
140,ND.0031,1975.0,Sea Disaster,papua new guinea,,,,N,M,Unspecified,
141,ND.0030,1975.0,Unprovoked,burma,,,,Y,M,Unspecified,
142,ND.0028,1975.0,Boat,italy,,White shark,,N,M,White,
143,ND.0027,1975.0,Unprovoked,greece,,,,N,M,Unspecified,
144,ND.0026,1975.0,Unprovoked,belize,16.0,12' tiger shark,,Y,M,Tiger,joven
145,ND.0025,1975.0,Unprovoked,australia,,,,,M,Unspecified,
146,ND.0024,1975.0,Unprovoked,reunion,,,,Y,,Unspecified,
147,ND.0023,1975.0,Unprovoked,south africa,,,,N,F,Unspecified,
148,ND.0022,1975.0,Unprovoked,australia,,,,N,M,Unspecified,
149,ND.0021,1975.0,Unprovoked,south africa,,,,Y,M,Unspecified,
150,ND.0020,1975.0,Unprovoked,australia,,,,Y,M,Unspecified,
151,ND.0019,1975.0,Unprovoked,usa,,,,N,M,Unspecified,
152,ND.0018,1975.0,Unprovoked,vietnam,,,,N,M,Unspecified,
153,ND.0017,1975.0,Unprovoked,south africa,,,,Y,M,Unspecified,
154,ND.0016,1975.0,Unprovoked,south africa,,,,Y,M,Unspecified,
155,ND.0015,1975.0,Unprovoked,fiji,,,,Y,,Unspecified,
156,ND.0014,1975.0,Unprovoked,usa,,,Jul,N,M,Unspecified,
157,ND.0013,1975.0,Unprovoked,south africa,,,Jul,Y,M,Unspecified,
158,ND.0012,1975.0,Unprovoked,south africa,,,Jul,Y,M,Unspecified,
159,ND.0011,1975.0,Unprovoked,asia?,,,,N,M,Unspecified,
160,ND.0010,1975.0,Unprovoked,usa,,,,N,F,Unspecified,
